attackerX,attackerY,victimSide,victimX,victimY,attackerName,victimName,weapon
90.7602691650391,-1577.62744140625,T,402.479156494141,-1570.302734375,Boombl4,zews,M4A4
508.920196533203,-1706.15368652344,T,745.430725097656,-1148.06396484375,Boombl4,FalleN,USP-S
-2062.6806640625,749.804992675781,T,-1105.16137695312,715.140563964844,flamie,TACO,USP-S
-2023.16137695312,-567.174011230469,T,-1610.20642089844,619.1455078125,s1mple,fer,USP-S
-1853.30358886719,-85.8971481323242,T,-1504.72351074219,492.033752441406,Zeus,fer,USP-S
-1908.81408691406,-50.1957359313965,T,-1762.18542480469,149.921966552734,Zeus,LUCAS1,USP-S
-1862.59509277344,-69.7129364013672,T,-1661.44409179688,699.389221191406,Zeus,FalleN,USP-S
-1784.39733886719,207.533157348633,T,-2500.6611328125,330.104400634766,flamie,zews,USP-S
-1741.20690917969,250.65217590332,T,-2497.36474609375,353.378845214844,Zeus,zews,USP-S
-1989.85668945312,-139.879852294922,T,-2283.845703125,418.880096435547,electronic,zews,USP-S
-807.993774414062,-925.2158203125,T,298.627380371094,-141.475692749023,s1mple,zews,M4A4
-807.993774414062,-925.2158203125,T,399.362182617188,-70.7050552368164,s1mple,FalleN,M4A4
-807.140502929688,-926.417358398438,T,398.631134033203,-69.6896591186523,s1mple,FalleN,M4A4
-805.9248046875,-928.12060546875,T,303.563018798828,-154.873565673828,s1mple,zews,M4A4
-804.582092285156,-930.007568359375,T,305.713409423828,-159.346817016602,s1mple,zews,M4A4
-802.881774902344,-932.412048339844,T,308.223510742188,-163.869430541992,s1mple,zews,M4A4
-47.8825874328613,-613.334594726562,T,268.673248291016,-86.6056442260742,electronic,LUCAS1,MP9
-46.8561553955078,-609.493286132812,T,265.565612792969,-84.3786773681641,electronic,LUCAS1,MP9
-43.0553665161133,-609.366577148438,T,263.003631591797,-82.6607971191406,electronic,LUCAS1,MP9
-38.6870193481445,-610.488952636719,T,264.344268798828,-83.4315414428711,electronic,LUCAS1,MP9
-37.3051795959473,-610.956237792969,T,267.090301513672,-85.0568084716797,electronic,LUCAS1,MP9
-739.218078613281,-2161.56860351562,T,82.0403442382812,-2170.60693359375,Boombl4,TACO,FAMAS
-739.222778320312,-2161.87377929688,T,82.0587539672852,-2174.4169921875,Boombl4,TACO,FAMAS
-739.22412109375,-2162.0068359375,T,82.0644378662109,-2172.57250976562,Boombl4,TACO,FAMAS
-739.233093261719,-2162.51684570312,T,81.6198196411133,-2182.08862304688,Boombl4,TACO,FAMAS
-739.223754882812,-2161.70288085938,T,81.5013122558594,-2184.419921875,Boombl4,TACO,FAMAS
-1084.50366210938,-664.661254882812,T,-1043.77685546875,-390.641296386719,flamie,fer,M4A4
-1084.30944824219,-664.84130859375,T,-1043.69458007812,-390.575164794922,flamie,fer,M4A4
-1084.30944824219,-664.84130859375,T,-1040.43676757812,-387.959197998047,flamie,fer,M4A4
-2279.81787109375,-639.147033691406,T,-2304.82836914062,-331.693695068359,flamie,TACO,M4A4
-2279.62182617188,-572.620666503906,T,-2435.9404296875,443.114593505859,flamie,LUCAS1,M4A4
-2280.96044921875,-573.063415527344,T,-2428.77685546875,444.252349853516,flamie,LUCAS1,M4A4
-700.700012207031,-312.052886962891,T,-927.826171875,268.674530029297,electronic,fer,M4A4
-2279.00219726562,-572.773742675781,T,-2412.04248046875,446.618988037109,flamie,LUCAS1,M4A4
-753.887817382812,28.2714729309082,T,-1749.11047363281,615.992370605469,electronic,FalleN,M4A4
-758.051635742188,22.62034034729,T,-1750.72973632812,608.448913574219,electronic,FalleN,M4A4
-764.883056640625,12.3009328842163,T,-1759.45202636719,590.916442871094,electronic,FalleN,M4A4
-766.589233398438,9.48745059967041,T,-1769.67468261719,572.844116210938,electronic,FalleN,M4A4
-1820.37646484375,-585.0771484375,T,-2055.06689453125,149.983337402344,s1mple,zews,MP9
-1830.70031738281,-574.8759765625,T,-2055.91967773438,145.185684204102,s1mple,zews,MP9
-1831.74157714844,-572.961059570312,T,-2059.92358398438,143.486572265625,s1mple,zews,MP9
-1831.89562988281,-572.677917480469,T,-2063.81909179688,142.070587158203,s1mple,zews,MP9
