attackerX,attackerY,victimSide,victimX,victimY
-954.973022460938,1048.74572753906,T,433.406585693359,1389.291015625
632.831115722656,577.99169921875,T,-106.62809753418,150.174743652344
633.913513183594,576.187866210938,T,-103.10767364502,146.19889831543
0.139822497963905,1328.21789550781,T,317.562103271484,2259.0693359375
-66.7494735717773,1944.14770507812,T,497.756103515625,1634.99328613281
-72.0545349121094,1934.98779296875,T,522.181457519531,1612.30432128906
-93.2357406616211,1925.38708496094,T,791.868713378906,1574.53649902344
-956.023376464844,1117.4267578125,T,416.811737060547,1672.40539550781
-90.454963684082,1930.02221679688,T,627.625915527344,1767.39587402344
-82.1576690673828,1931.57116699219,T,680.009582519531,1530.53454589844
-84.8621292114258,1939.744140625,T,509.656890869141,1644.9521484375
-84.8621292114258,1939.744140625,T,707.231018066406,1520.44921875
-85.9207382202148,1937.69689941406,T,506.436431884766,1648.95593261719
274.060241699219,1304.80541992188,T,504.895111083984,1650.84252929688
-930.318359375,1067.92443847656,T,394.073699951172,1416.06042480469
-181.370864868164,1824.41296386719,T,-301.975982666016,1534.68359375
356.402282714844,-376.574096679688,T,407.011657714844,-890.427673339844
358.703308105469,-376.329376220703,T,417.96240234375,-882.686279296875
-285.775817871094,-281.939514160156,T,269.881164550781,-703.024841308594
71.6627426147461,-253.907913208008,T,503.175079345703,-551.754211425781
74.3574523925781,-253.111846923828,T,503.022735595703,-551.811706542969
102.177238464355,-261.984161376953,T,-214.47819519043,-581.474304199219
-833.711669921875,-936.176940917969,T,-258.110504150391,-930.606140136719
-834.112487792969,-926.409423828125,T,-257.794891357422,-926.443298339844
-834.465209960938,-914.125061035156,T,-257.515350341797,-923.381774902344
-836.072570800781,-833.742980957031,T,-250.978088378906,-902.206970214844
-411.535522460938,-717.585144042969,T,-380.009338378906,-1227.92236328125
-413.618316650391,-717.967712402344,T,-380.535919189453,-1225.34106445312
-413.698699951172,-717.973327636719,T,-381.603332519531,-1223.14477539062
-422.795013427734,-717.962829589844,T,-381.096710205078,-1221.99963378906
-427.832794189453,-716.539489746094,T,-378.557281494141,-1221.96044921875
-245.516784667969,-1008.65216064453,T,318.006286621094,-655.566040039062
-245.632369995117,-1008.46691894531,T,318.033813476562,-655.562744140625
-246.044387817383,-1007.80908203125,T,318.033813476562,-655.562744140625
-246.632965087891,-1006.86895751953,T,319.445709228516,-657.814697265625
481.644439697266,-290.51123046875,T,813.668334960938,306.832550048828
481.579681396484,-290.439758300781,T,810.89111328125,305.176086425781
481.579681396484,-290.439758300781,T,807.316772460938,302.770690917969
480.559326171875,-289.867156982422,T,808.106628417969,299.588073730469
472.133056640625,-286.264312744141,T,842.065551757812,277.502746582031
475.9609375,-288.761932373047,T,843.305969238281,276.659820556641
-433.460266113281,1471.89025878906,T,571.9658203125,1622.75610351562
-60.7504386901855,1110.5146484375,T,-72.0246810913086,226.502395629883
-214.107620239258,1108.82775878906,T,317.652252197266,2223.96044921875
-215.023895263672,1109.62158203125,T,324.859375,2221.06616210938
-216.940444946289,1110.56103515625,T,321.150299072266,2222.81689453125
-220.237945556641,1112.18127441406,T,321.239532470703,2222.7685546875
-108.923141479492,2015.65673828125,T,385.939514160156,1447.71008300781
-216.159240722656,862.715637207031,T,225.125350952148,2111.125
-103.837409973145,746.168212890625,CT,-384.113739013672,2066.26171875
406.623291015625,-734.5556640625,T,276.465301513672,-391.229461669922
1.12481081485748,-38.1486511230469,T,841.554626464844,616.301818847656
1.94069814682007,-39.231143951416,T,841.740417480469,615.586486816406
497.878631591797,-292.578765869141,T,772.849548339844,679.636901855469
-549.21533203125,29.5197505950928,T,909.579895019531,226.153030395508
-215.669281005859,423.263092041016,T,910.773620605469,221.591079711914
-215.669281005859,423.263092041016,T,911.222106933594,217.205032348633
-215.669281005859,423.263092041016,T,911.036010742188,213.270401000977
-215.852996826172,422.285736083984,T,910.622192382812,209.816040039062
552.740234375,-642.285339355469,T,536.386108398438,-956.106018066406
554.870239257812,-642.462890625,T,532.59765625,-956.141540527344
558.730773925781,-642.788818359375,T,532.789001464844,-956.3525390625
563.9970703125,-643.369140625,T,540.470397949219,-957.501342773438
563.9970703125,-643.398376464844,T,543.502685546875,-957.863586425781
-37.2525215148926,1318.05834960938,T,-321.627624511719,637.331359863281
406.512298583984,2253.24291992188,T,1233.97253417969,1888.58190917969
406.14111328125,2251.90283203125,T,1234.03894042969,1888.73779296875
70.3800277709961,1319.56921386719,T,276.02001953125,2144.3291015625
496.6572265625,1672.86328125,T,-971.998718261719,1076.58813476562
484.830932617188,1669.70849609375,T,-971.360961914062,1071.82885742188
481.821258544922,1673.85717773438,T,-971.463317871094,1072.04479980469
-255.213516235352,-1458.98461914062,T,-61.966480255127,-1194.38977050781
-253.46159362793,-1458.98461914062,T,-57.6775894165039,-1201.51428222656
-253.919372558594,-1458.49951171875,T,-55.5766410827637,-1206.54455566406
500.578338623047,-263.696899414062,T,200.024230957031,-393.867126464844
491.876770019531,-263.205230712891,T,200.610778808594,-392.810180664062
488.325622558594,-265.86669921875,T,198.955459594727,-388.77978515625
484.646270751953,-261.807891845703,T,197.72770690918,-385.924987792969
-167.690948486328,-1458.99853515625,T,-6.2967414855957,-1404.27258300781
-167.568511962891,-1458.99853515625,T,2.1023223400116,-1413.88989257812
461.607818603516,-263.618133544922,T,-117.238342285156,-403.604187011719
461.313537597656,-266.973754882812,T,-116.986106872559,-404.577423095703
461.942993164062,-271.033233642578,T,-116.236587524414,-407.742401123047
462.366058349609,-272.934997558594,T,-115.903366088867,-409.227905273438
-157.13818359375,-1458.98657226562,T,178.352813720703,-1293.7607421875
-171.753234863281,-1445.77966308594,T,183.111389160156,-1307.40905761719
-726.101867675781,-833.100769042969,T,196.944290161133,-1137.80627441406
-374.444458007812,-1113.56115722656,T,-271.344818115234,-1242.98278808594
-9.38826179504395,-1184.36291503906,T,-301.192443847656,-1218.3544921875
-99.50732421875,-1388.99462890625,T,271.541473388672,-503.934844970703
360.085784912109,-383.854187011719,T,264.697052001953,-500.802734375
262.969970703125,-702.4931640625,T,-251.700424194336,-970.767028808594
263.638793945312,-703.890502929688,T,-254.22868347168,-965.470886230469
262.145843505859,-701.033874511719,T,-254.35400390625,-965.148803710938
288.754516601562,-551.335205078125,T,-254.35400390625,-965.148803710938
288.481475830078,-550.981323242188,T,-254.35400390625,-965.148803710938
-826.704345703125,28.008617401123,T,-689.827270507812,257.997772216797
-919.890258789062,784.539978027344,T,-769.015197753906,282.240600585938
-925.266906738281,773.464599609375,T,-768.674499511719,283.269287109375
251.659713745117,1376.48327636719,T,389.357727050781,1299.85717773438
258.708099365234,1376.75354003906,T,391.913543701172,1303.08056640625
266.105041503906,1377.0419921875,T,392.395294189453,1303.70776367188
219.440078735352,1875.99182128906,T,-40.919921875,1496.35021972656
219.34162902832,1876.04895019531,T,-45.1035842895508,1499.25244140625
218.989776611328,1876.30383300781,T,-45.2248802185059,1499.31274414062
-88.6855697631836,-432.456207275391,T,1062.6279296875,-1204.65759277344
-285.316528320312,348.539855957031,T,97.4043655395508,402.602416992188
-285.368469238281,348.764617919922,T,96.5038833618164,399.550231933594
-285.368469238281,348.764617919922,T,95.59619140625,395.257049560547
-285.368469238281,348.764617919922,T,94.8355331420898,391.408874511719
-285.368469238281,348.764617919922,T,94.4237670898438,390.469512939453
-360.789489746094,-45.8713035583496,T,78.0062713623047,396.765045166016
-468.020935058594,1440.02954101562,T,-17.8748741149902,1958.58483886719
-360.183258056641,-46.0619163513184,T,81.4617156982422,404.054290771484
-468.020935058594,1440.02954101562,T,-21.5174522399902,1961.62097167969
-467.718872070312,1439.76989746094,T,-21.5009460449219,1961.60290527344
-354.096466064453,-52.2224464416504,T,81.525032043457,404.187866210938
-335.118438720703,1835.1171875,T,-177.537780761719,1710.642578125
-334.650390625,1835.73474121094,T,-178.796447753906,1706.72387695312
-425.631622314453,2115.0966796875,T,-233.048843383789,2257.56811523438
-423.054321289062,2113.74609375,T,-232.65754699707,2257.03662109375
-84.7491073608398,2037.11462402344,T,170.860107421875,1732.85412597656
-84.3981323242188,2037.34375,T,168.827011108398,1731.03234863281
-85.0135192871094,2036.8427734375,T,165.476043701172,1728.248046875
-85.8861999511719,2036.13317871094,T,163.017639160156,1726.34729003906
607.659240722656,1620.68432617188,T,713.853942871094,682.063171386719
614.054016113281,1620.603515625,T,720.543884277344,682.821594238281
614.13818359375,1620.50231933594,T,725.876586914062,683.528930664062
613.379089355469,1620.42126464844,T,730.583618164062,684.178039550781
610.350158691406,1619.86511230469,T,544.335021972656,944.231872558594
614.749145507812,1619.28454589844,T,568.967468261719,1024.43078613281
616.136352539062,1619.16027832031,T,561.531433105469,1027.28503417969
597.407775878906,1707.20190429688,T,557.853942871094,1028.06555175781
617.046569824219,1619.07556152344,T,557.026306152344,1028.21508789062
597.982727050781,1707.18090820312,T,552.496704101562,1028.90100097656
618.27001953125,1618.93127441406,T,530.862182617188,946.882568359375
619.546569824219,1618.76379394531,T,535.078247070312,946.46142578125
597.4150390625,1707.22485351562,T,549.091857910156,945.074584960938
626.335144042969,1617.96362304688,T,557.991394042969,944.269592285156
585.525939941406,1706.38818359375,T,691.930969238281,763.033386230469
586.3681640625,1706.08923339844,T,708.704895019531,764.338745117188
585.09619140625,1705.94250488281,T,731.068115234375,766.404541015625
500.403411865234,1687.7529296875,T,728.136108398438,728.622619628906
239.971786499023,1325.2607421875,T,225.786804199219,2058.79663085938
240.775512695312,1329.46801757812,T,234.635925292969,2045.74853515625
240.775512695312,1329.46801757812,T,234.280883789062,2040.56384277344
240.775512695312,1329.46801757812,T,232.210693359375,2036.04833984375
240.775512695312,1329.46801757812,T,236.254959106445,2034.23217773438
425.551452636719,-418.17041015625,T,292.853454589844,-306.507598876953
423.689086914062,-418.621124267578,T,277.141082763672,-312.990081787109
386.489562988281,-357.307861328125,T,278.692626953125,-769.416259765625
391.549224853516,-357.032501220703,T,283.735321044922,-768.143432617188
391.951019287109,-355.677062988281,T,291.785125732422,-768.529602050781
393.622253417969,-356.100372314453,T,296.03857421875,-768.966186523438
-351.002197265625,-1112.15905761719,T,381.791748046875,-532.213989257812
388.665466308594,-354.763885498047,T,306.183349609375,-770.668395996094
-351.002197265625,-1112.15905761719,T,376.102386474609,-529.893005371094
-351.002197265625,-1112.15905761719,T,385.239288330078,-530.493530273438
377.461853027344,-351.628265380859,T,391.350067138672,-530.270690917969
89.9989852905273,2244.99951171875,T,61.5193481445312,1945.05200195312
89.9989852905273,2244.99951171875,T,44.8749160766602,1956.2802734375
89.9989852905273,2244.99951171875,T,28.7774276733398,1960.56726074219
27.0131397247314,2241.44311523438,T,150.133148193359,1837.06945800781
17.3167362213135,2238.79760742188,T,162.953369140625,1840.26770019531
8.14992523193359,2236.20263671875,T,168.122772216797,1851.08483886719
132.612258911133,-296.910400390625,T,552.248168945312,-611.049560546875
135.530075073242,-294.710144042969,T,555.072265625,-619.825927734375
135.738586425781,-294.552886962891,T,556.640014648438,-624.753479003906
135.738586425781,-294.552886962891,T,555.371704101562,-620.6103515625
-498.242645263672,-536.376831054688,T,-231.98567199707,-1282.24890136719
-498.242645263672,-536.376831054688,T,-231.98567199707,-1282.24890136719
-703.758544921875,-1045.53662109375,T,-929.46240234375,90.2369384765625
