attackerX,attackerY,victimSide,victimX,victimY
-279.207733154297,-934.991027832031,CT,-957.829833984375,-59.50244140625
-1160.02661132812,687.672302246094,CT,-2136.30541992188,780.709167480469
-632.227111816406,-380.512176513672,CT,-649.843139648438,-1409.75061035156
-930.726440429688,-728.1689453125,CT,-698.663024902344,-389.452819824219
-109.596328735352,-1471.205078125,CT,-760.02099609375,-2059.01025390625
-926.637573242188,-734.390686035156,CT,-680.943298339844,-421.800842285156
-917.748413085938,-741.95703125,CT,-666.654357910156,-447.086181640625
-102.320938110352,-1479.10241699219,CT,-753.485290527344,-2073.83178710938
-920.460266113281,-739.437316894531,CT,-660.310241699219,-455.314514160156
-937.40380859375,-723.307739257812,CT,-652.631408691406,-465.27734375
-188.822723388672,-1581.96545410156,CT,-1042.626953125,-1391.85620117188
-314.299560546875,-1635.212890625,CT,-626.348937988281,-1783.39599609375
-158.603622436523,-2206.4140625,CT,148.337432861328,-2059.87255859375
-1075.16723632812,-1526.9765625,CT,-1223.82287597656,-1086.94067382812
-1015.91296386719,-1504.34460449219,CT,-1338.90905761719,-965.790344238281
-1018.23931884766,-1508.93078613281,CT,-1336.7158203125,-965.622741699219
-1018.94970703125,-1510.14685058594,CT,-1334.82507324219,-965.850891113281
351.9189453125,-1571.5546875,CT,-770.194213867188,-1696.74609375
-159.130096435547,-2274.88452148438,CT,-204.422393798828,-1997.45751953125
-158.912689208984,-2274.857421875,CT,-198.098587036133,-2001.15197753906
-157.136184692383,-2274.62573242188,CT,-194.732833862305,-2002.96313476562
-1573.87243652344,-2043.9990234375,CT,-1483.28076171875,-861.975646972656
-1575.2822265625,-2039.24389648438,CT,-1474.77270507812,-868.8681640625
-1575.34216308594,-2039.23828125,CT,-1473.57116699219,-873.810424804688
-1576.037109375,-2039.17431640625,CT,-1471.76647949219,-877.343933105469
-1687.09887695312,-1958.25610351562,CT,-1431.78503417969,-938.367553710938
-399.049926757812,458.052734375,CT,-1773.57495117188,792.076110839844
